name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
MIR1914	1101	CNVR_204	20	62562453	62575854
MIR644A	1101	CNVR_94	20	33036965	33095748
MIR647	1101	CNVR_204	20	62562453	62575854
NCOA3	1101	CNVR_157	20	46252404	46263189
RTEL1-TNFRSF6B	1101	CNVR_199	20	62325968	62333819
SAMHD1	1101	CNVR_116	20	35520992	35575389
SNRPB2	1101	CNVR_45	20	16712062	16721218
SNX5	1101	CNVR_48	20	17922493	17971330
SOGA1	1101	CNVR_115	20	35440856	35467868
TNFRSF6B	1101	CNVR_199	20	62325968	62333819
ZBTB46	1101	CNVR_200	20	62373446	62384464
ABHD12	734	CNVR_72	20	25287218	25287717
ACOT8	734	CNVR_148	20	44443778	44534007
ACSS2	734	CNVR_98	20	33501764	33502049
ARFRP1	734	CNVR_199	20	62325968	62333819
ATRN	734	CNVR_15	20	3515649	3540288
COL9A3	734	CNVR_190	20	61444831	61456586
CRLS1	734	CNVR_25	20	5947831	6017968
DEFB116	734	CNVR_78	20	29890764	29896570
EIF2S2	734	CNVR_92	20	32678072	32691516
FNDC11	734	CNVR_197	20	62175329	62192098
GATA5	734	CNVR_188	20	61040705	61050303
HNF4A	734	CNVR_136	20	43029628	43031442
IFT52	734	CNVR_132	20	42223082	42232648
JPH2	734	CNVR_135	20	42788507	42789297
KCNQ2	734	CNVR_193	20	62046005	62051220
LOC101926935	734	CNVR_75	20	25733446	25829551
LOC105372582	734	CNVR_75	20	25733446	25829551
LSM14B	734	CNVR_184	20	60706161	60712212
MATN4	734	CNVR_143	20	43926307	43927259
MIR4758	734	CNVR_187	20	60904582	60937858
MIR941-1	734	CNVR_203	20	62521452	62551542
MIR941-2	734	CNVR_203	20	62521452	62551542
MIR941-3	734	CNVR_203	20	62521452	62551542
MIR941-4	734	CNVR_203	20	62521452	62551542
MIR941-5	734	CNVR_203	20	62521452	62551542
MKRN7P	734	CNVR_151	20	45084881	45094047
MMP24	734	CNVR_104	20	33805364	33862823
NCOR1P4	734	CNVR_75	20	25733446	25829551
NDUFAF5	734	CNVR_39	20	13767573	13779355
NKX2-2	734	CNVR_64	20	21492409	21494797
OGFR	734	CNVR_190	20	61444831	61456586
PFDN4	734	CNVR_173	20	52830639	52835806
PHF20	734	CNVR_112	20	34389662	34459306
PLCB1	734	CNVR_28	20	8130690	8131189
PLCG1-AS1	734	CNVR_126	20	39704560	39727382
PRNT	734	CNVR_20	20	4712677	4713676
PROCR	734	CNVR_103	20	33734877	33764874
PSMA7	734	CNVR_184	20	60706161	60712212
PSMF1	734	CNVR_6	20	1145922	1146921
PXMP4	734	CNVR_89	20	32307650	32319814
RALGAPB	734	CNVR_122	20	37121322	37122025
RBCK1	734	CNVR_3	20	390863	391362
RNF24	734	CNVR_19	20	3925573	3944921
RPN2	734	CNVR_118	20	35730816	35813026
RTEL1	734	CNVR_199	20	62325968	62333819
SAMD10	734	CNVR_206	20	62606218	62608536
SEMG2	734	CNVR_142	20	43835423	43852227
SIGLEC1	734	CNVR_17	20	3673009	3674595
SIRPB1	734	CNVR_9	20	1551200	1551699
SNX21	734	CNVR_148	20	44443778	44534007
SOX18	734	CNVR_207	20	62669602	62694799
SPINT4	734	CNVR_147	20	44350735	44354516
TAF4	734	CNVR_183	20	60578465	60581814
TPX2	734	CNVR_80	20	30310059	30385568
TRMT6	734	CNVR_24	20	5924462	5939622
ZNF334	734	CNVR_152	20	45129518	45133101
ZNF341-AS1	734	CNVR_91	20	32378543	32379542
ZSWIM1	734	CNVR_148	20	44443778	44534007
ZSWIM3	734	CNVR_148	20	44443778	44534007
ABALON	367	CNVR_80	20	30310059	30385568
ADNP	367	CNVR_167	20	49520175	49577227
ANKEF1	367	CNVR_32	20	10032060	10035497
AURKA	367	CNVR_174	20	54944694	54959574
BCAS1	367	CNVR_172	20	52569720	52570484
BCL2L1	367	CNVR_80	20	30310059	30385568
BHLHE23	367	CNVR_191	20	61637028	61638027
BMP2	367	CNVR_27	20	6750516	6751369
BPIFA2	367	CNVR_85	20	31755714	31756213
BPIFA3	367	CNVR_87	20	31813961	31814460
C20orf173	367	CNVR_106	20	34115811	34117300
C20orf85	367	CNVR_178	20	56735966	56803528
C20orf96	367	CNVR_1	20	257183	257602
CASS4	367	CNVR_175	20	55034145	55035144
CD93	367	CNVR_65	20	23017306	23067211
COMMD7	367	CNVR_83	20	31315449	31316199
CPNE1	367	CNVR_107	20	34240096	34243516
CPXM1	367	CNVR_12	20	2777789	2778238
CSE1L-AS1	367	CNVR_162	20	47644816	47711750
CST7	367	CNVR_70	20	24929654	24930461
CTSA	367	CNVR_148	20	44443778	44534007
DEFB121	367	CNVR_79	20	29993647	29994268
DLGAP4	367	CNVR_113	20	35091056	35091252
EBF4	367	CNVR_11	20	2685972	2690468
EDEM2	367	CNVR_103	20	33734877	33764874
EEF1A2	367	CNVR_195	20	62120525	62120755
ENTPD6	367	CNVR_71	20	25198935	25199434
EPPIN	367	CNVR_146	20	44162584	44191108
EPPIN-WFDC6	367	CNVR_146	20	44162584	44191108
FAM110A	367	CNVR_5	20	820347	820456
FAM182A	367	CNVR_76	20	26061549	26063778
FAM209A	367	CNVR_176	20	55099534	55100363
GCNT7	367	CNVR_176	20	55099534	55100363
GGTLC1	367	CNVR_68	20	23965939	23967762
GINS1	367	CNVR_74	20	25405596	25422586
GMEB2	367	CNVR_198	20	62193137	62223623
GTSF1L	367	CNVR_134	20	42354554	42355553
HMGB3P1	367	CNVR_97	20	33421127	33422515
KCNG1	367	CNVR_168	20	49626851	49627151
KCNK15	367	CNVR_137	20	43374755	43379518
KCNK15-AS1	367	CNVR_137	20	43374755	43379518
KCNS1	367	CNVR_141	20	43727569	43728068
L3MBTL1	367	CNVR_131	20	42164992	42165348
LOC100131496	367	CNVR_156	20	45947495	45947994
LRRN4	367	CNVR_26	20	6032540	6033539
MACROD2	367	CNVR_42	20	15866158	15866657
MAPRE1	367	CNVR_84	20	31413480	31437226
MGME1	367	CNVR_48	20	17922493	17971330
MIR3192	367	CNVR_50	20	18449837	18455967
MOCS3	367	CNVR_167	20	49520175	49577227
MRGBP	367	CNVR_189	20	61427574	61428073
MYT1	367	CNVR_209	20	62848669	62891875
NAA20	367	CNVR_52	20	19998266	20003348
NCOA6	367	CNVR_96	20	33364345	33370457
NDRG3	367	CNVR_114	20	35293198	35400126
NEURL2	367	CNVR_148	20	44443778	44534007
NNAT	367	CNVR_120	20	36150955	36151454
NPEPL1	367	CNVR_180	20	57275821	57288724
NSFL1C	367	CNVR_7	20	1447114	1472169
OPRL1	367	CNVR_208	20	62729570	62730569
OTOR	367	CNVR_46	20	16731489	16731988
PARD6B	367	CNVR_166	20	49354143	49354866
PCED1A	367	CNVR_13	20	2821218	2821992
PCMTD2	367	CNVR_209	20	62848669	62891875
PCNA	367	CNVR_21	20	5095348	5099368
PEDS1-UBE2V1	367	CNVR_164	20	48698410	48732744
PHACTR3	367	CNVR_182	20	58421919	58514966
PIGU	367	CNVR_95	20	33231717	33245232
PLAGL2	367	CNVR_82	20	30789971	30796114
PLTP	367	CNVR_148	20	44443778	44534007
POFUT1	367	CNVR_82	20	30789971	30796114
POLR3F	367	CNVR_50	20	18449837	18455967
PPP1R16B	367	CNVR_124	20	37464217	37465068
PPP1R3D	367	CNVR_182	20	58421919	58514966
RAE1	367	CNVR_177	20	55906638	55930122
RBM12	367	CNVR_107	20	34240096	34243516
RBPJL	367	CNVR_145	20	43945278	43945777
ROMO1	367	CNVR_108	20	34287301	34287935
RRBP1	367	CNVR_47	20	17610217	17610716
SEC23B	367	CNVR_51	20	18523912	18526848
SEMG1	367	CNVR_142	20	43835423	43852227
SIRPD	367	CNVR_8	20	1514646	1515337
SLC2A4RG	367	CNVR_200	20	62373446	62384464
SLC9A8	367	CNVR_163	20	48494267	48494766
SLX4IP	367	CNVR_34	20	10438573	10439072
SNAP25	367	CNVR_33	20	10273279	10274176
SNAP25-AS1	367	CNVR_32	20	10032060	10035497
SNORD17	367	CNVR_48	20	17922493	17971330
SPATA25	367	CNVR_148	20	44443778	44534007
SRSF6	367	CNVR_130	20	42087542	42088041
SSTR4	367	CNVR_65	20	23017306	23067211
STK4-AS1	367	CNVR_139	20	43595042	43616187
STX16-NPEPL1	367	CNVR_180	20	57275821	57288724
SUMO1P1	367	CNVR_171	20	52491289	52492288
SYNDIG1	367	CNVR_69	20	24523905	24524404
TCEA2	367	CNVR_207	20	62669602	62694799
TGM2	367	CNVR_121	20	36770715	36776741
THBD	367	CNVR_65	20	23017306	23067211
TLDC2	367	CNVR_116	20	35520992	35575389
TNNC2	367	CNVR_148	20	44443778	44534007
TRIB3	367	CNVR_2	20	368904	377590
UBE2C	367	CNVR_148	20	44443778	44534007
UBE2V1	367	CNVR_164	20	48698410	48732744
UQCC1	367	CNVR_105	20	33954109	33969969
VAPB	367	CNVR_179	20	57009407	57014249
VPS16	367	CNVR_13	20	2821218	2821992
WFDC6	367	CNVR_146	20	44162584	44191108
WFDC8	367	CNVR_146	20	44162584	44191108
YWHAB	367	CNVR_138	20	43532383	43533007
ZBTB46-AS1	367	CNVR_201	20	62421923	62496829
ZNF217	367	CNVR_170	20	52194622	52195121
ZNF512B	367	CNVR_205	20	62597743	62598181
ZNF663P	367	CNVR_151	20	45084881	45094047
ZNF831	367	CNVR_181	20	57767824	57771172
