Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	2	3	4	5	Type	Length	Check_gene
20	630	NM_019095	+	5986768	6020697	5986892	6017804	7	5986768,5990420,5996006,6011930,6012657,6015109,6017719,	5987198,5990558,5996136,6012016,6012726,6015201,6020697,	0	CRLS1	cmpl	cmpl	0,0,0,1,0,0,2,	CNVR_25	5947831	6017968	1468	367		8	1460				Loss	70138	Has_gene
20	78	NM_152611	-	6021191	6034706	6021667	6033445	5	6021191,6025188,6031424,6032790,6034475,	6022892,6025326,6031629,6033450,6034706,	0	LRRN4	cmpl	cmpl	2,2,1,0,-1,	CNVR_26	6032540	6033539	367	367	2		365				Loss	1000	Has_gene
20	636	NM_001200	+	6748332	6760893	6750773	6759736	3	6748332,6750766,6758891,	6749522,6751119,6760893,	0	BMP2	cmpl	cmpl	-1,0,1,	CNVR_27	6750516	6751369	367	367		1	366				Loss	854	Has_gene
20	1	NM_015192	+	8112912	8865547	8113298	8862496	32	8112912,8130940,8352028,8608940,8626748,8628546,8630020,8637830,8639184,8665578,8678272,8689316,8696910,8698317,8703000,8705302,8707955,8709696,8713884,8717674,8719907,8720990,8722110,8737692,8741053,8745785,8755185,8769095,8769279,8770164,8770821,8862268,	8113397,8131018,8352097,8609078,8626828,8628600,8630096,8637931,8639351,8665725,8678430,8689399,8696995,8698495,8703068,8705399,8708040,8709821,8714039,8717839,8720007,8721095,8722220,8737825,8741107,8746005,8755366,8769172,8769369,8770222,8770908,8865547,	0	PLCB1	cmpl	cmpl	0,0,0,0,0,2,2,0,2,1,1,0,2,0,1,0,1,2,1,0,0,1,1,0,1,1,2,0,2,2,0,0,	CNVR_28	8130690	8131189	367	367		1	366				Loss	500	Has_gene
20	1	NM_015192	+	8112912	8865547	8113298	8862496	32	8112912,8130940,8352028,8608940,8626748,8628546,8630020,8637830,8639184,8665578,8678272,8689316,8696910,8698317,8703000,8705302,8707955,8709696,8713884,8717674,8719907,8720990,8722110,8737692,8741053,8745785,8755185,8769095,8769279,8770164,8770821,8862268,	8113397,8131018,8352097,8609078,8626828,8628600,8630096,8637931,8639351,8665725,8678430,8689399,8696995,8698495,8703068,8705399,8708040,8709821,8714039,8717839,8720007,8721095,8722220,8737825,8741107,8746005,8755366,8769172,8769369,8770222,8770908,8865547,	0	PLCB1	cmpl	cmpl	0,0,0,0,0,2,2,0,2,1,1,0,2,0,1,0,1,2,1,0,0,1,1,0,1,1,2,0,2,2,0,0,	CNVR_29	8705052	8722359	367	367		2	365				Loss	17308	Has_gene
20	10	NM_000933	+	9049733	9461455	9288461	9459656	39	9049733,9076933,9198036,9288446,9317772,9318654,9319540,9343542,9346107,9351860,9352949,9353693,9360700,9364847,9368109,9370525,9371177,9374234,9376169,9382136,9388563,9389279,9389703,9391683,9400453,9401943,9404394,9416206,9417648,9424627,9424824,9433993,9438060,9440281,9449217,9453436,9453925,9457363,9459567,	9049853,9076989,9198099,9288545,9317853,9318714,9319684,9343622,9346161,9351942,9353050,9353751,9360809,9365058,9368203,9370605,9371262,9374325,9376265,9382237,9388705,9389364,9389828,9391735,9400556,9402108,9404599,9416295,9417799,9424677,9424890,9434109,9438136,9440457,9449319,9453494,9454012,9457400,9461455,	0	PLCB4	cmpl	cmpl	-1,-1,-1,0,0,0,0,0,2,2,0,2,0,1,2,0,2,0,1,1,0,1,2,1,2,0,0,1,0,1,0,0,2,0,2,2,0,0,1,	CNVR_30	9317522	9389528	1101	367		5	1096				Loss	72007	Has_gene
20	10	NM_000933	+	9049733	9461455	9288461	9459656	39	9049733,9076933,9198036,9288446,9317772,9318654,9319540,9343542,9346107,9351860,9352949,9353693,9360700,9364847,9368109,9370525,9371177,9374234,9376169,9382136,9388563,9389279,9389703,9391683,9400453,9401943,9404394,9416206,9417648,9424627,9424824,9433993,9438060,9440281,9449217,9453436,9453925,9457363,9459567,	9049853,9076989,9198099,9288545,9317853,9318714,9319684,9343622,9346161,9351942,9353050,9353751,9360809,9365058,9368203,9370605,9371262,9374325,9376265,9382237,9388705,9389364,9389828,9391735,9400556,9402108,9404599,9416295,9417799,9424677,9424890,9434109,9438136,9440457,9449319,9453494,9454012,9457400,9461455,	0	PLCB4	cmpl	cmpl	-1,-1,-1,0,0,0,0,0,2,2,0,2,0,1,2,0,2,0,1,1,0,1,2,1,2,0,0,1,0,1,0,0,2,0,2,2,0,0,1,	CNVR_31	9417898	9438309	734	367		3	731				Loss	20412	Has_gene
20	82	NR_040710	-	10004459	10200154	10200154	10200154	5	10004459,10007191,10084933,10177465,10199884,	10006814,10007296,10085042,10177585,10200154,	0	SNAP25-AS1	unk	unk	-1,-1,-1,-1,-1,	CNVR_32	10032060	10035497	367	367		1	366				Loss	3438	Has_gene
20	661	NM_022096	+	10015634	10038949	10018949	10036308	11	10015634,10016226,10018905,10023769,10025041,10026221,10030037,10032310,10033759,10035109,10036149,	10015981,10016290,10019295,10023969,10025191,10026345,10030860,10032537,10033923,10035247,10038949,	0	ANKEF1	cmpl	cmpl	-1,-1,0,1,0,0,1,2,1,0,0,	CNVR_32	10032060	10035497	367	367		1	366				Loss	3438	Has_gene
20	82	NM_001322910	+	10199477	10288066	10256139	10286845	9	10199477,10207934,10256076,10258332,10265371,10273808,10277572,10279915,10286776,	10199625,10208086,10256211,10258374,10265420,10273926,10277698,10280060,10288066,	0	SNAP25	cmpl	cmpl	-1,-1,0,0,0,1,2,2,0,	CNVR_33	10273279	10274176	367	367		1	366				Loss	898	Has_gene
20	10	NM_001009608	+	10415952	10608674	10438852	10604027	8	10415952,10438823,10536878,10541347,10579322,10582378,10601961,10603306,	10416101,10438879,10536968,10541468,10579400,10582467,10602062,10608674,	0	SLX4IP	cmpl	cmpl	-1,0,0,0,1,1,0,2,	CNVR_34	10438573	10439072	367	367		1	366				Loss	500	Has_gene
20	85	NM_001349945	+	12989619	13149750	12989915	13145514	13	12989619,12989848,13029592,13052903,13054996,13071730,13074130,13090758,13098152,13107237,13134649,13140649,13145400,	12989720,12990032,13029778,13053058,13055145,13071855,13074224,13090864,13098372,13107364,13134785,13140779,13149750,	0	SPTLC3	cmpl	cmpl	-1,0,0,0,2,1,0,1,2,0,1,2,0,	CNVR_35	12989369	12990282	367	367		1	366				Loss	914	Has_gene
20	85	NM_001349945	+	12989619	13149750	12989915	13145514	13	12989619,12989848,13029592,13052903,13054996,13071730,13074130,13090758,13098152,13107237,13134649,13140649,13145400,	12989720,12990032,13029778,13053058,13055145,13071855,13074224,13090864,13098372,13107364,13134785,13140779,13149750,	0	SPTLC3	cmpl	cmpl	-1,0,0,0,2,1,0,1,2,0,1,2,0,	CNVR_36	13052653	13055245	367	367		1	366				Loss	2593	Has_gene
20	85	NM_001349945	+	12989619	13149750	12989915	13145514	13	12989619,12989848,13029592,13052903,13054996,13071730,13074130,13090758,13098152,13107237,13134649,13140649,13145400,	12989720,12990032,13029778,13053058,13055145,13071855,13074224,13090864,13098372,13107364,13134785,13140779,13149750,	0	SPTLC3	cmpl	cmpl	-1,0,0,0,2,1,0,1,2,0,1,2,0,	CNVR_37	13071480	13145649	1468	367	556		912				Loss	74170	Has_gene
20	86	NM_016649	-	13694968	13765532	13695520	13763786	14	13694968,13698014,13699554,13709024,13714367,13740338,13747423,13750552,13751976,13753160,13755802,13756518,13763149,13765467,	13695814,13698161,13699631,13709112,13714489,13740500,13747571,13750667,13752129,13753261,13755916,13756916,13763829,13765532,	0	ESF1	cmpl	cmpl	0,0,1,0,1,1,0,2,2,0,0,1,0,-1,	CNVR_38	13695218	13757166	1101	367		8	1093				Loss	61949	Has_gene
20	690	NM_024120	+	13765673	13802226	13765714	13797856	11	13765673,13767957,13769234,13773825,13775483,13779106,13782131,13789487,13797108,13797520,13797763,	13765936,13767998,13769298,13773873,13775587,13779146,13782329,13789548,13797192,13797603,13802226,	0	NDUFAF5	cmpl	cmpl	0,0,2,0,0,2,0,0,1,1,0,	CNVR_39	13767573	13779355	734	367		2	730	2			Mixed	11783	Has_gene
20	86	NR_073206	-	13829892	13971260	13971260	13971260	21	13829892,13830836,13839907,13845812,13845994,13847347,13850148,13850786,13856683,13858165,13865992,13866933,13868414,13868587,13869104,13894427,13895766,13899666,13912248,13936721,13971122,	13830250,13830965,13840080,13845887,13846160,13847496,13850236,13850849,13856761,13858234,13866049,13867088,13868496,13868647,13869158,13894590,13895887,13899769,13912417,13936777,13971260,	0	SEL1L2	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,	CNVR_40	13839657	13869375	4037	367	1924		2104	9			Mixed	29719	Has_gene
20																CNVR_41	14665238	14665737	367	367	177		189	1			Mixed	500	Non_gene
20	10	NM_001033087	+	15177485	16033841	15843449	16030521	14	15177485,15210585,15412049,15480418,15843389,15866408,15913920,15918120,15948197,15967371,15967710,16021845,16025215,16030474,	15177678,15210707,15412080,15480492,15843471,15866456,15913983,15918189,15948275,15967446,15967803,16021923,16025284,16033841,	0	MACROD2	cmpl	cmpl	-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,	CNVR_42	15866158	15866657	367	367		3	364				Loss	500	Has_gene
20	88	NM_001199866	-	16347487	16554093	16347790	16553920	23	16347487,16351230,16352309,16354901,16359449,16362338,16385457,16387018,16407748,16409597,16410507,16474935,16478257,16485016,16486366,16486666,16488602,16492062,16493470,16496192,16506736,16509015,16553873,	16348471,16351281,16352406,16355054,16360808,16362392,16385546,16387101,16407886,16409649,16410627,16474995,16478323,16485192,16486498,16486835,16488745,16492172,16493568,16496309,16506850,16509085,16554093,	0	KIF16B	cmpl	cmpl	0,0,2,2,2,2,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,2,0,	CNVR_43	16347737	16351479	1101	367	372	1	728				Loss	3743	Has_gene
20	88	NM_001199866	-	16347487	16554093	16347790	16553920	23	16347487,16351230,16352309,16354901,16359449,16362338,16385457,16387018,16407748,16409597,16410507,16474935,16478257,16485016,16486366,16486666,16488602,16492062,16493470,16496192,16506736,16509015,16553873,	16348471,16351281,16352406,16355054,16360808,16362392,16385546,16387101,16407886,16409649,16410627,16474995,16478323,16485192,16486498,16486835,16488745,16492172,16493568,16496309,16506850,16509085,16554093,	0	KIF16B	cmpl	cmpl	0,0,2,2,2,2,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,2,0,	CNVR_44	16474685	16478506	734	367		3	731				Loss	3822	Has_gene
20	712	NM_003092	+	16710670	16723209	16712347	16721650	7	16710670,16712312,16712808,16717905,16719496,16720969,16721490,	16710809,16712411,16712981,16718046,16719547,16721058,16723209,	0	SNRPB2	cmpl	cmpl	-1,0,1,0,0,0,2,	CNVR_45	16712062	16721218	1101	367		7	1094				Loss	9157	Has_gene
20	712	NM_020157	+	16729002	16732809	16729046	16731763	4	16729002,16729511,16730547,16731739,	16729161,16729651,16730655,16732809,	0	OTOR	cmpl	cmpl	0,1,0,0,	CNVR_46	16731489	16731988	367	367		1	366				Loss	500	Has_gene
20	719	NM_001365613	-	17594323	17662887	17594826	17641152	25	17594323,17595381,17596075,17596570,17597376,17599240,17600277,17600943,17601359,17602102,17602334,17602499,17605220,17606156,17607992,17608148,17610467,17614104,17616190,17617221,17622441,17623623,17639240,17660643,17662672,	17594865,17595525,17596174,17596654,17597484,17599324,17600373,17601015,17601452,17602192,17602418,17602592,17605313,17606247,17608027,17608327,17610606,17614258,17616309,17617374,17622564,17623772,17641173,17660720,17662887,	0	RRBP1	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,-1,-1,	CNVR_47	17610217	17610716	367	367	2	2	363				Loss	500	Has_gene
20	721	NM_014426	-	17922243	17949437	17923000	17949068	13	17922243,17923753,17928129,17929533,17929707,17930775,17930934,17932143,17933230,17934639,17936008,17937576,17949017,	17923051,17923839,17928289,17929620,17929747,17930851,17931040,17932239,17933354,17934761,17936119,17937681,17949437,	0	SNX5	cmpl	cmpl	0,1,0,0,2,1,0,0,2,0,0,0,0,	CNVR_48	17922493	17971330	1101	367		5	1096				Loss	48838	Has_gene
20	721	NR_003045	-	17943352	17943589	17943589	17943589	1	17943352,	17943589,	0	SNORD17	unk	unk	-1,	CNVR_48	17922493	17971330	1101	367		5	1096				Loss	48838	Has_gene
20	90	NM_001363738	+	17949585	17971765	17950502	17970752	5	17949585,17950443,17956326,17968808,17970581,	17949784,17950773,17956546,17968941,17971765,	0	MGME1	cmpl	cmpl	-1,0,1,2,0,	CNVR_48	17922493	17971330	1101	367		5	1096				Loss	48838	Has_gene
20	725	NM_001367619	-	18364010	18447674	18365042	18434398	22	18364010,18365659,18370344,18371022,18374354,18374897,18377115,18379166,18393289,18394991,18395970,18407710,18414295,18423990,18429627,18432497,18433258,18434374,18435890,18440796,18445893,18447505,	18365208,18365734,18370472,18371103,18374455,18374994,18377190,18379270,18393479,18395156,18396093,18407803,18414409,18424108,18429713,18432606,18433326,18434471,18436005,18440950,18446021,18447674,	0	DZANK1	cmpl	cmpl	2,2,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,-1,-1,-1,-1,	CNVR_49	18374104	18436139	4037	367	1322		2711	4			Mixed	62036	Has_gene
20	725	NM_001282526	+	18448033	18465290	18449648	18464202	9	18448033,18449587,18453485,18454034,18455718,18460681,18461045,18462262,18464124,	18448315,18449705,18453553,18454102,18455831,18460825,18461153,18462454,18465290,	0	POLR3F	cmpl	cmpl	-1,0,0,2,1,0,0,0,0,	CNVR_50	18449837	18455967	367	367		2	365				Loss	6131	Has_gene
20	725	NR_036160	+	18451258	18451335	18451335	18451335	1	18451258,	18451335,	0	MIR3192	unk	unk	-1,	CNVR_50	18449837	18455967	367	367		2	365				Loss	6131	Has_gene
20	726	NM_006363	+	18488583	18542059	18491479	18541384	20	18488583,18491465,18492868,18496293,18505076,18505578,18506431,18507016,18508139,18511323,18513307,18516296,18522939,18523662,18526599,18529252,18531732,18534878,18535751,18541294,	18488616,18491700,18492926,18496380,18505313,18505664,18506576,18507175,18508255,18511447,18513388,18516386,18523046,18523816,18526677,18529414,18531819,18535034,18535817,18542059,	0	SEC23B	cmpl	cmpl	-1,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,	CNVR_51	18523912	18526848	367	367		2	365				Loss	2937	Has_gene
20	737	NM_181527	+	19998438	20014273	19998668	20013831	6	19998438,20003099,20006320,20007427,20013151,20013745,	19998685,20003124,20006411,20007563,20013297,20014273,	0	NAA20	cmpl	cmpl	0,2,0,1,2,1,	CNVR_52	19998266	20003348	367	367		1	366				Loss	5083	Has_gene
20	737	NM_016652	-	20015004	20036690	20016838	20036658	15	20015004,20017966,20018992,20020252,20021329,20022209,20022968,20024135,20025951,20028408,20028986,20029983,20031113,20032935,20036591,	20017006,20018215,20019094,20020492,20021410,20022269,20023160,20024306,20026130,20028575,20029145,20030075,20031266,20033402,20036690,	0	CRNKL1	cmpl	cmpl	0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,	CNVR_53	20020002	20022458	367	367		1	366				Loss	2457	Has_gene
