CONTIG	START	END	LOG2_COPY_RATIO
chr20	896798	897227	1.063023204
chr20	944327	944826	2.337796609
chr20	947566	948065	5.362049525
chr20	948342	948841	3.614228114
chr20	1099168	1099667	1.096629935
chr20	1105890	1106389	0.903821722
chr20	1106390	1106543	1.238639685
chr20	1107818	1108317	0.990840881
chr20	1115513	1116012	0.889938582
chr20	1116013	1116199	0.644748183
chr20	1143523	1144022	0.999385197
chr20	1144711	1145210	0.985417038
chr20	1145211	1145386	1.064722782
chr20	1145422	1145921	0.868719417
chr20	1145922	1146421	1.544912269
chr20	1146422	1146921	5.805463367
chr20	1160954	1161453	1.032727928
chr20	1161454	1161953	0.891064809
chr20	1161954	1162453	0.628903884
chr20	1164164	1164663	1.017208885
chr20	1164664	1165163	1.380672486
chr20	1276669	1277168	0.944785168
chr20	1277169	1277315	1.635732714
chr20	1277538	1278037	0.783031607
chr20	1280955	1281454	0.92393171
chr20	1285271	1285770	0.977151365
chr20	1285771	1286270	0.95830729
chr20	1286271	1286770	0.848488855
chr20	1290804	1291291	0.857611979
chr20	1291292	1291785	1.019697649
chr20	1292730	1293191	1.15480541
chr20	1293192	1293656	1.279860859
chr20	1293733	1294232	1.427295576
chr20	1298711	1299210	3.724642692
chr20	1299983	1300482	3.614023961
chr20	1300756	1301255	3.821089217
chr20	1350370	1350869	1.935559262
chr20	1352105	1352604	1.076120587
chr20	1352605	1353104	1.029088547
chr20	1355884	1356383	0.806098218
chr20	1356384	1356497	1.644970147
chr20	1358691	1359190	0.911465345
chr20	1424056	1424555	0.829677507
chr20	1424556	1424806	1.090786461
chr20	1426060	1426559	1.02335074
chr20	1426560	1426725	1.01833054
chr20	1432887	1433386	1.017002456
chr20	1433387	1433475	0.983732853
chr20	1433476	1433975	1.125438367
chr20	1434607	1435106	1.143635906
chr20	1435361	1435860	1.019755026
chr20	1435861	1436029	0.774187247
chr20	1438590	1439089	0.961081544
chr20	1444723	1445222	0.971359808
chr20	1445223	1445321	1.477693341
chr20	1447114	1447613	0.464272973
chr20	1456483	1456982	1.71757347
chr20	1457732	1458231	-5.724067042
chr20	1458660	1459159	0.469284353
chr20	1460094	1460593	-5.069801126
chr20	1460594	1460960	2.06790922
chr20	1471670	1472169	1.00178914
chr20	1514646	1515145	0.920895917
chr20	1515146	1515337	0.901255331
chr20	1517550	1518049	0.966105515
chr20	1518050	1518206	1.403062811
chr20	1532086	1532585	0.762367145
chr20	1532586	1532934	0.890020631
chr20	1537976	1538475	0.859349554
chr20	1538476	1538601	1.314011099
chr20	1546548	1547047	1.107444467
chr20	1551200	1551699	1.077873
chr20	1551700	1552033	0.873439317
chr20	1552115	1552614	0.91440864
chr20	1552615	1552933	0.861028497
chr20	1558733	1559232	0.827559158
chr20	1559233	1559590	0.80737653
chr20	1591752	1592251	-5.794440401
chr20	1592252	1592609	#NUM!
chr20	1600264	1600763	0.776542223
chr20	1600764	1600990	1.322345852
chr20	1610617	1611116	0.716023458
chr20	1615662	1616161	0.857870748
chr20	1616162	1616495	0.717269602
chr20	1616583	1617082	0.9373815
chr20	1617083	1617401	0.843005404
chr20	1629447	1629946	0.958039003
chr20	1629947	1630304	0.986800106
chr20	1638037	1638536	0.882377816
chr20	1638537	1638675	0.515396404
chr20	1895494	1895993	0.883453609
chr20	1895994	1896351	0.911391715
chr20	1901790	1902289	0.752308872
chr20	1902290	1902608	0.60698097
chr20	1902708	1903207	0.788684903
chr20	1903208	1903541	0.801395364
chr20	1905159	1905658	0.894566585
chr20	1905659	1905773	1.038132646
chr20	1908270	1908769	0.975119399
chr20	1915110	1915609	0.866877451
chr20	1917715	1918214	1.225157494
chr20	1918215	1918714	0.679425657
chr20	1960651	1961150	0.88175754
chr20	1961151	1961650	0.743460064
chr20	1961651	1961854	0.594168881
chr20	1963351	1963850	0.996345848
chr20	1974476	1974975	1.032242741
chr20	2083663	2084162	0.931041554
chr20	2097061	2097560	1.10096045
chr20	2097561	2098060	1.050727801
chr20	2098061	2098311	1.336003627
chr20	2125179	2125678	1.808033509
chr20	2276396	2276895	0.894426277
chr20	2290052	2290551	0.78984744
chr20	2290552	2290649	0.904869299
chr20	2290650	2291149	1.019175805
chr20	2291150	2291313	1.171184264
chr20	2291406	2291905	0.994524957
chr20	2291906	2292025	1.016444207
chr20	2293293	2293792	1.026120555
chr20	2293793	2293922	1.343255029
chr20	2297463	2297943	1.00108069
chr20	2297944	2298381	0.905274108
chr20	2306244	2306743	1.019114088
chr20	2308515	2309014	0.940869147
chr20	2309015	2309261	0.904079472
chr20	2312397	2312896	0.914543115
chr20	2312897	2313206	0.867813488
chr20	2315511	2316010	1.018291643
chr20	2316011	2316169	1.774648812
chr20	2320249	2320748	0.989659576
chr20	2320749	2320856	1.241325867
chr20	2320857	2321356	1.034294128
chr20	2321357	2321856	1.714212266
chr20	2361296	2361795	1.080140122
chr20	2374847	2375346	1.436530925
chr20	2375347	2375521	1.248729625
chr20	2375589	2376088	1.099968839
chr20	2376089	2376332	1.436723351
chr20	2376901	2377400	1.075324419
chr20	2378313	2378812	0.928902841
chr20	2378813	2378942	1.114767223
chr20	2379956	2380455	0.839868834
chr20	2380456	2380634	0.633201717
chr20	2380701	2381200	1.163664857
chr20	2381201	2381340	0.99006775
chr20	2383792	2384186	0.889788529
chr20	2384187	2384686	1.202392871
chr20	2397627	2398126	1.189108066
chr20	2398127	2398469	1.045314829
chr20	2410841	2411340	0.893977752
chr20	2411341	2411392	0.881708136
chr20	2411393	2411892	0.942168308
chr20	2412885	2413384	0.952374034
chr20	2413385	2413649	1.239757961
chr20	2442037	2442536	1.038288414
chr20	2442537	2442835	0.918345697
chr20	2443031	2443502	0.625312042
chr20	2443503	2443713	0.949512227
chr20	2443714	2444123	0.933898949
chr20	2444142	2444641	0.965528212
chr20	2446103	2446602	0.857139084
chr20	2446603	2446715	1.10507522
chr20	2448002	2448501	0.984424778
chr20	2448502	2448654	1.154643411
chr20	2451083	2451582	1.095782723
chr20	2463215	2463714	0.941678271
chr20	2463715	2464214	0.966764822
chr20	2464215	2464714	0.919855088
chr20	2464715	2465214	1.060810249
chr20	2465215	2465552	0.948007369
chr20	2473094	2473593	0.998572419
chr20	2473594	2473721	1.153487797
chr20	2473914	2474323	0.85760448
chr20	2474324	2474823	0.952387106
chr20	2517002	2517501	0.968664757
chr20	2517664	2518163	0.980113415
chr20	2538851	2539350	0.794427846
chr20	2539351	2539670	1.078274529
chr20	2542253	2542752	1.185144738
chr20	2552574	2553073	0.890790763
chr20	2553074	2553165	1.499857857
chr20	2559541	2560040	1.055979418
chr20	2560345	2560844	0.882216488
chr20	2572705	2573204	1.040638875
chr20	2573205	2573304	0.414370503
chr20	2575220	2575719	0.841643163
chr20	2575720	2575863	1.014062533
chr20	2577546	2578045	0.915530715
chr20	2578046	2578194	0.515964991
chr20	2582508	2583007	0.997012592
chr20	2583008	2583197	0.873531682
chr20	2590814	2591313	0.935140417
chr20	2592586	2593085	0.986565052
chr20	2593086	2593236	0.912993699
chr20	2593589	2594088	0.979003719
chr20	2594089	2594218	0.839345807
chr20	2596532	2597031	0.921820524
chr20	2597032	2597100	1.441213087
chr20	2597467	2597966	0.919099059
chr20	2597967	2598207	1.351215861
chr20	2604666	2605165	0.966807153
chr20	2605166	2605292	0.973623485
chr20	2616321	2616820	0.880292288
chr20	2617869	2618368	1.055796331
chr20	2618369	2618487	0.719007255
chr20	2621529	2622028	1.079893276
chr20	2622029	2622528	1.201434905
chr20	2633366	2633750	0.635431968
chr20	2633751	2634250	1.008238262
chr20	2634607	2634995	1.116159539
chr20	2634996	2635307	0.848686989
chr20	2635308	2635652	0.91922429
chr20	2635653	2635907	0.850398952
chr20	2635908	2636199	0.846249785
chr20	2636200	2636485	0.854957756
chr20	2636486	2636953	0.935090073
chr20	2636954	2637232	0.760095203
chr20	2637233	2637379	0.843852564
chr20	2637380	2637562	1.076554443
chr20	2637563	2637691	0.916884673
chr20	2637692	2637941	0.996990582
chr20	2637942	2638354	1.179354358
chr20	2638355	2638854	0.883385248
chr20	2638855	2639039	0.857703539
chr20	2639040	2639539	1.156132418
chr20	2639572	2640064	0.831859458
chr20	2640065	2640287	0.922626609
chr20	2640288	2640557	0.902810087
chr20	2640558	2640865	0.832522659
chr20	2640866	2641056	0.882671468
chr20	2641057	2641289	1.078620351
chr20	2641290	2641514	0.876782765
chr20	2641515	2641865	0.762306101
chr20	2643841	2644258	1.104238969
chr20	2644259	2644487	1.014005252
chr20	2644488	2644724	1.17765612
chr20	2644725	2645119	1.40125366
chr20	2685972	2686471	0.591461253
chr20	2688342	2688841	0.452849509
chr20	2689969	2690468	2.568969588
chr20	2730446	2730869	1.003215125
chr20	2736022	2736521	2.161825701
chr20	2774469	2774968	1.236316588
chr20	2774969	2775129	0.811493102
chr20	2775130	2775535	1.015560937
chr20	2775672	2776153	1.000900172
chr20	2776154	2776584	0.91458596
chr20	2776585	2776849	0.952283366
chr20	2776850	2777130	0.937483978
chr20	2777131	2777473	0.914177541
chr20	2777474	2777788	0.83246166
chr20	2777789	2778238	1.069371539
chr20	2778363	2778750	0.938881638
chr20	2778751	2779005	0.944581126
chr20	2779006	2779277	0.881556712
chr20	2779278	2779777	0.851784155
chr20	2780796	2781295	1.313870037
chr20	2795382	2795881	0.838867519
chr20	2795882	2796136	1.015281562
chr20	2796137	2796636	1.053613968
chr20	2797107	2797606	1.063184236
chr20	2815710	2816209	0.939397015
chr20	2816210	2816519	0.953866664
chr20	2816520	2817019	0.931051133
chr20	2817020	2817210	1.138945564
chr20	2818627	2819126	0.979867617
chr20	2819127	2819182	1.263069713
chr20	2819183	2819440	0.99753294
chr20	2819441	2819782	0.975233715
chr20	2819783	2820167	1.053619615
chr20	2820184	2820683	1.06352798
chr20	2821218	2821321	1.148524675
chr20	2821322	2821492	0.803582423
chr20	2821493	2821992	0.713458573
chr20	2840114	2840576	0.954696626
chr20	2840577	2840840	0.969501657
chr20	2840841	2841053	1.035736161
chr20	2841054	2841316	1.131696963
chr20	2841317	2841562	0.747915377
chr20	2841563	2841804	0.892332226
chr20	2841805	2842093	0.994194136
chr20	2842094	2842400	0.984658416
chr20	2842401	2842622	1.026329133
chr20	2842623	2843000	1.208866899
chr20	2843001	2843404	0.84889298
chr20	2843405	2843645	0.934575248
chr20	2843646	2843840	1.321965638
chr20	2843841	2844294	1.054856787
chr20	2844344	2844776	0.884034465
chr20	2844777	2844971	1.157851993
chr20	2844972	2845150	0.978601852
chr20	2845151	2845461	1.034477293
chr20	2845462	2845747	1.001084448
chr20	2845748	2846003	1.180427438
chr20	2846004	2846391	1.269762984
chr20	2846607	2847018	0.827889101
chr20	2847019	2847518	0.942603119
chr20	2944667	2945166	0.849545095
chr20	2945256	2945755	1.1007134
chr20	2945756	2946098	1.149424698
chr20	2955610	2956109	0.772049003
chr20	2967160	2967659	0.849703354
chr20	2968427	2968867	0.981123495
chr20	2968868	2969367	0.97570772
chr20	2985451	2985950	0.88929973
chr20	2985951	2986042	1.396673911
chr20	2987739	2988238	1.035887576
chr20	2996244	2996743	1.05133344
chr20	2998211	2998710	0.89222426
chr20	3001704	3002203	0.956146582
chr20	3002204	3002324	1.112328279
chr20	3002449	3002948	0.977229537
chr20	3002949	3003100	0.688336546
chr20	3003101	3003600	1.028821811
chr20	3004867	3005366	0.928826677
chr20	3005367	3005517	1.093375125
chr20	3007082	3007581	0.809103855
chr20	3007597	3008093	0.784037944
chr20	3008102	3008601	1.148650745
chr20	3008602	3008737	1.013714928
chr20	3015980	3016395	1.064100829
chr20	3016396	3016837	0.921787993
chr20	3017549	3018048	0.760805625
chr20	3018049	3018185	1.691371907
chr20	3018454	3018953	0.944742296
chr20	3018954	3019453	1.276868795
chr20	3024803	3025269	1.166776056
chr20	3025270	3025732	1.130013394
chr20	3026081	3026545	1.236616282
chr20	3026546	3026972	0.507585196
chr20	3026973	3027212	0.402856305
chr20	3027213	3027633	0.765588005
chr20	3028130	3028629	1.005342369
chr20	3028630	3029129	1.77416432
chr20	3052015	3052514	1.15584462
chr20	3052572	3052966	1.05658178
chr20	3052967	3053413	0.656288576
chr20	3064950	3065449	0.952193763
chr20	3065450	3065620	1.986273603
chr20	3090218	3090717	1.112010812
chr20	3090718	3091188	1.121402478
chr20	3095700	3096199	1.060314792
chr20	3096200	3096362	1.256877211
chr20	3101779	3102278	1.054650976
chr20	3102279	3102778	0.963903972
chr20	3102779	3103278	1.240242012
chr20	3103707	3104206	1.150447113
chr20	3126914	3127413	1.015156724
chr20	3127414	3127913	0.946879632
chr20	3127914	3128413	0.903274871
chr20	3128414	3128913	0.912306584
chr20	3128914	3129413	1.139956152
chr20	3129414	3129913	1.190250758
chr20	3144512	3145011	1.704373056
chr20	3145012	3145511	0.818186059
chr20	3145512	3145970	1.350098789
chr20	3145971	3146470	0.484038163
chr20	3146471	3146970	1.048437752
chr20	3146971	3147178	1.119694162
chr20	3147179	3147678	0.76895494
chr20	3147679	3148077	0.643792225
chr20	3170745	3171244	1.411889587
chr20	3171245	3171650	0.735529437
chr20	3171651	3172134	0.833495018
chr20	3172160	3172659	1.001549099
chr20	3175225	3175695	0.844130363
chr20	3175696	3176195	1.079161279
chr20	3180396	3180867	0.988064716
chr20	3180868	3181350	1.200530009
chr20	3183608	3184107	0.887900944
chr20	3184932	3185431	1.098654909
chr20	3189571	3189911	1.524228351
chr20	3189912	3190411	0.890215456
chr20	3190412	3190513	0.930727011
chr20	3193564	3193887	1.01948481
chr20	3193888	3194279	1.026235546
chr20	3194380	3194879	1.024454176
chr20	3195676	3196175	1.102703342
chr20	3198912	3199411	1.226087893
chr20	3202236	3202735	1.178942945
chr20	3203761	3204260	1.095515645
chr20	3207578	3208077	0.966558851
chr20	3208078	3208577	0.921012696
chr20	3208578	3208703	1.621864357
chr20	3208704	3209115	1.103156123
chr20	3209116	3209418	0.8010166
chr20	3209419	3209698	1.170467231
chr20	3209699	3209950	1.160617767
chr20	3209951	3210133	1.35380016
chr20	3210134	3210627	1.178510403
chr20	3210628	3211033	1.063495076
chr20	3211034	3211335	0.80139792
chr20	3211336	3211534	0.990580082
chr20	3211535	3211749	0.942725765
chr20	3211750	3211931	0.748054342
chr20	3211932	3212431	1.221781839
chr20	3213909	3214408	1.116881029
chr20	3214425	3214688	0.969763582
chr20	3214689	3215086	0.740929243
chr20	3215087	3215325	1.043266309
chr20	3215326	3215790	1.014785805
chr20	3217939	3218438	0.809727637
chr20	3218456	3218955	0.734704036
chr20	3232697	3233196	1.727412099
chr20	3233197	3233580	2.84878612
chr20	3234121	3234620	2.064317899
chr20	3236401	3236900	1.953533246
chr20	3239875	3240374	2.627560962
chr20	3240384	3240883	6.057510802
chr20	3244833	3245332	6.903313316
chr20	3250822	3251321	3.17490583
chr20	3259307	3259806	2.221462805
chr20	3262036	3262535	3.680799273
chr20	3268027	3268526	2.800119678
chr20	3270524	3271023	-6.378049173
chr20	3274534	3275033	3.967993828
chr20	3275038	3275525	5.784551711
chr20	3277257	3277756	1.609185233
chr20	3278425	3278924	1.623497077
chr20	3284836	3285335	2.993944
chr20	3295429	3295928	4.974312727
chr20	3296131	3296630	5.760426963
chr20	3297119	3297618	4.224701274
chr20	3298685	3299184	5.475374463
chr20	3302613	3303103	4.800713124
chr20	3303104	3303593	3.744015166
chr20	3305288	3305787	7.501796792
chr20	3306593	3307092	6.331663261
chr20	3311042	3311541	5.88156427
chr20	3312676	3313175	6.678978451
chr20	3320900	3321399	5.566618725
chr20	3324072	3324571	4.027153456
chr20	3328921	3329420	7.230952864
chr20	3339912	3340411	7.145150982
chr20	3354444	3354943	4.532056157
chr20	3355426	3355925	5.807194927
chr20	3356574	3357073	4.489732156
chr20	3361775	3362274	4.902140147
chr20	3362823	3363322	2.407556181
chr20	3451914	3452413	0.505782849
chr20	3515649	3516148	1.115601095
chr20	3520618	3521117	1.106157861
chr20	3521118	3521232	0.942426957
chr20	3526158	3526657	0.934547989
chr20	3526658	3526787	1.153496631
chr20	3527680	3528179	1.068323277
chr20	3528180	3528386	1.695676583
chr20	3529566	3530065	1.0409622
chr20	3530066	3530235	1.364969161
chr20	3539789	3540288	1.043083487
chr20	3541058	3541557	1.136942246
chr20	3541558	3541802	1.047568419
chr20	3542672	3543171	1.006373497
chr20	3543172	3543356	1.141758046
chr20	3543605	3544104	1.127948671
chr20	3544105	3544260	1.252418111
chr20	3545744	3546243	0.77667652
chr20	3553127	3553626	0.967839382
chr20	3553627	3553848	0.576823341
chr20	3556223	3556722	1.120709005
chr20	3557255	3557754	0.968831256
chr20	3557755	3557894	1.245898821
chr20	3558978	3559477	1.074686061
chr20	3559478	3559669	0.99201796
chr20	3562531	3563030	1.154368632
chr20	3563031	3563251	0.89433211
chr20	3564294	3564793	1.05377893
chr20	3564794	3564980	1.19027289
chr20	3565043	3565542	0.939285941
chr20	3565543	3565777	0.908097612
chr20	3571565	3572064	1.122567391
chr20	3572065	3572203	0.752650358
chr20	3574875	3575374	0.923920949
chr20	3576773	3577272	0.927694872
chr20	3578302	3578801	0.995661934
chr20	3581342	3581841	1.136480451
chr20	3584501	3585000	0.961028021
chr20	3585001	3585159	1.185504319
chr20	3596224	3596723	0.579645171
chr20	3604907	3605406	1.105996906
chr20	3605407	3605469	1.062165725
chr20	3614707	3615206	0.875702515
chr20	3615207	3615286	1.159738041
chr20	3619224	3619723	1.028746774
chr20	3624550	3625049	0.97105034
chr20	3627119	3627618	1.082142117
chr20	3627619	3628118	1.655964418
chr20	3640188	3640687	1.280639358
chr20	3640721	3641034	1.240814249
chr20	3641035	3641359	1.888183994
chr20	3643750	3644249	1.011135717
chr20	3648861	3649360	1.617264646
chr20	3649361	3649796	0.870542595
chr20	3649797	3650104	0.81568866
chr20	3650105	3650534	0.674185165
chr20	3651402	3651841	1.047487737
chr20	3651842	3652028	1.352576168
chr20	3652029	3652185	1.229359695
chr20	3652186	3652474	1.18563341
chr20	3652475	3652706	1.040036157
chr20	3652707	3653079	1.287671073
chr20	3653080	3653320	1.123570844
chr20	3653321	3653772	1.229701676
chr20	3653773	3654181	-0.024017403
chr20	3654349	3654634	1.062436551
chr20	3654635	3654823	1.206161392
chr20	3654824	3655040	1.353779086
chr20	3655041	3655379	1.185483527
chr20	3655380	3655584	1.068544846
chr20	3655585	3656002	1.037401434
chr20	3657463	3657962	0.863677201
chr20	3659888	3660387	0.921485523
chr20	3662304	3662803	0.857728278
chr20	3668866	3669365	1.163252328
chr20	3669366	3669516	1.174799787
chr20	3669551	3670050	1.020830719
chr20	3670061	3670478	0.683718814
chr20	3670479	3670978	0.969199735
chr20	3671736	3672235	1.087152572
chr20	3672236	3672398	0.988708563
chr20	3672399	3672898	0.951275793
chr20	3673009	3673463	0.927615842
chr20	3673464	3673935	0.820160355
chr20	3673936	3674435	0.943954405
chr20	3674436	3674595	1.536927948
chr20	3674617	3675116	0.945749399
chr20	3675117	3675244	0.798257797
chr20	3675245	3675744	0.91047181
chr20	3676982	3677481	1.192194621
chr20	3677482	3677633	1.138760208
chr20	3677634	3678133	1.023153866
chr20	3678217	3678716	1.123823349
chr20	3678717	3679030	1.91463186
chr20	3679598	3680097	0.958841755
chr20	3680098	3680356	1.483267869
chr20	3681738	3682237	0.914649347
chr20	3682238	3682538	1.019829065
chr20	3683593	3684092	1.022192437
chr20	3684093	3684284	1.060252429
chr20	3684285	3684784	0.965435019
chr20	3684785	3684988	1.283061066
chr20	3686140	3686639	1.159406225
chr20	3686640	3686840	1.369068905
chr20	3686841	3687340	1.01749278
chr20	3687341	3687539	1.206473052
chr20	3687540	3688039	0.998316003
chr20	3719054	3719553	1.236877679
chr20	3721211	3721710	1.185691214
chr20	3722680	3723179	1.171184089
chr20	3725298	3725797	1.144635828
chr20	3725798	3725937	1.076621246
chr20	3725938	3726402	1.259475837
chr20	3726403	3726902	1.393490124
chr20	3728613	3729112	1.305113936
chr20	3729628	3730127	1.06008341
chr20	3730181	3730558	1.053929325
chr20	3730559	3731058	1.172486121
chr20	3731200	3731699	1.146749079
chr20	3731700	3731804	1.330981476
chr20	3731907	3732406	0.60438247
chr20	3732407	3732906	2.655156873
chr20	3732907	3733406	1.975743798
chr20	3734452	3734924	1.34736321
chr20	3734925	3735416	1.265508347
chr20	3735865	3736364	1.01762225
chr20	3738932	3739431	1.06472975
chr20	3739432	3739575	1.966123902
chr20	3740403	3740902	1.27791384
chr20	3758900	3759016	5.72745486
chr20	3759017	3759291	5.861550925
chr20	3759292	3759525	6.854426869
chr20	3759526	3759739	6.772061721
chr20	3759740	3760154	2.759814916
chr20	3760155	3760654	1.364514073
chr20	3761575	3762074	0.647402059
chr20	3764747	3765246	0.70253327
chr20	3765247	3765746	1.02187055
chr20	3765747	3766246	1.066722152
chr20	3766247	3766746	1.116779021
chr20	3766747	3767246	1.550103565
chr20	3777135	3777628	1.15985672
chr20	3778018	3778517	1.082621129
chr20	3778518	3778646	1.103751052
chr20	3778808	3779307	1.113771395
chr20	3780458	3780957	0.868870025
chr20	3780958	3781042	1.120302346
chr20	3781043	3781267	0.951007625
chr20	3781268	3781564	1.184019519
chr20	3781565	3781820	1.37451284
chr20	3781821	3782201	1.124697455
chr20	3782202	3782509	1.223708032
chr20	3782510	3782837	0.820838952
chr20	3782838	3783199	0.898538087
chr20	3783200	3783505	0.912526653
chr20	3783506	3783686	0.939661449
chr20	3783687	3783951	0.894497183
chr20	3783952	3784434	1.11303568
chr20	3784965	3785397	1.285887097
chr20	3785398	3785897	1.128839156
chr20	3802498	3802997	1.011643472
chr20	3802998	3803190	0.82012129
chr20	3804267	3804766	1.089417392
chr20	3804767	3805266	0.812175685
chr20	3834954	3835453	1.073066605
chr20	3835454	3835638	1.835730346
chr20	3838031	3838530	0.999370288
chr20	3838531	3838706	1.332272463
chr20	3841728	3842227	1.026874252
chr20	3842228	3842401	1.374091054
chr20	3842650	3843149	1.07971116
chr20	3843150	3843310	1.128201149
chr20	3844652	3845151	1.07434071
chr20	3845152	3845651	1.125006314
chr20	3846079	3846578	1.023026643
chr20	3846579	3847078	0.810025526
chr20	3854579	3855078	1.885494856
chr20	3869566	3870065	0.756011335
chr20	3888322	3888821	0.936854076
chr20	3888822	3889321	1.21077912
chr20	3890973	3891472	0.973647418
chr20	3891473	3891727	1.065749613
chr20	3892854	3893353	0.96636207
chr20	3893354	3893531	1.152620888
chr20	3897323	3897822	0.734178108
chr20	3897823	3897918	0.700512062
chr20	3897919	3898418	1.196863726
chr20	3899067	3899566	1.070792272
chr20	3899567	3899693	0.572433476
chr20	3903640	3904139	0.997896749
chr20	3904140	3904639	1.117106301
chr20	3914140	3914639	0.91858513
chr20	3914640	3915098	1.147364937
chr20	3915390	3915889	1.049805453
chr20	3925573	3926072	0.849292985
chr20	3928633	3929132	1.088784778
chr20	3944271	3944770	0.914166426
chr20	3944771	3944921	0.882198469
chr20	4155426	4155925	1.040419259
chr20	4155926	4156160	1.187688421
chr20	4157747	4158246	1.073637057
chr20	4158247	4158474	1.538732074
chr20	4162199	4162679	1.06127347
chr20	4162680	4163179	1.174591245
chr20	4163180	4163679	1.113245634
chr20	4163890	4164389	0.940658167
chr20	4164390	4164551	1.323273984
chr20	4167139	4167638	1.138821966
chr20	4167698	4168197	1.025954029
chr20	4168198	4168644	0.499485394
chr20	4201526	4202025	2.228627618
chr20	4202026	4202525	0.932055587
chr20	4202526	4203025	0.735132677
chr20	4228243	4228742	1.133994074
chr20	4228743	4229242	0.78871811
chr20	4229243	4229742	1.799056898
chr20	4679606	4680105	1.177134587
chr20	4680106	4680605	0.881656634
chr20	4680606	4681105	0.48658894
chr20	4704936	4705435	0.825082266
